PassengerId,Survived,Sex,Age,FareLog,Title,Pclass,HasCabin,FamilySize,Embarked
1,0,male,22.0,2.1102132003465894,Mr,3,0,2,S
2,1,female,38.0,4.2805931204649,Mrs,1,1,2,C
3,1,female,26.0,2.188856327665703,Miss,3,0,1,S
4,1,female,35.0,3.9908341858524357,Mrs,1,1,2,S
5,0,male,35.0,2.2027647577118348,Mr,3,0,1,S
6,0,male,25.0,2.246892662898172,Mr,3,0,1,Q
7,0,male,54.0,3.967694202798607,Mr,1,1,1,S
8,0,male,2.0,3.0944457464900235,Master,3,0,5,S
9,1,female,27.0,2.495953738718064,Mrs,3,0,3,S
10,1,female,14.0,3.436268471383741,Mrs,2,0,2,C
11,1,female,4.0,2.8735646395797834,Miss,3,1,3,S
12,1,female,58.0,3.3160025355989236,Miss,1,1,1,S
13,0,male,20.0,2.2027647577118348,Mr,3,0,1,S
14,0,male,39.0,3.4742929367327062,Mr,3,0,7,S
15,0,female,14.0,2.180891922715322,Miss,3,0,1,S
16,1,female,55.0,2.833213344056216,Mrs,2,0,1,S
17,0,male,2.0,3.405355391810819,Master,3,0,6,Q
18,1,male,30.0,2.6390573296152584,Mr,2,0,1,S
19,0,female,31.0,2.9444389791664403,Mrs,3,0,2,S
20,1,female,21.5,2.1071782966514356,Mrs,3,0,1,C
21,0,male,35.0,3.295836866004329,Mr,2,0,1,S
22,1,male,34.0,2.6390573296152584,Mr,2,1,1,S
23,1,female,15.0,2.2004637699272855,Miss,3,0,1,Q
24,1,male,28.0,3.597312260588446,Mr,1,1,1,S
25,0,female,8.0,3.0944457464900235,Miss,3,0,5,S
26,1,female,38.0,3.4777725458882283,Mrs,3,0,7,S
27,0,male,25.0,2.1071782966514356,Mr,3,0,1,C
28,0,male,19.0,5.575949103146316,Mr,1,1,6,S
29,1,female,21.5,2.1837114628556327,Miss,3,0,1,Q
30,0,male,25.0,2.1855792552411137,Mr,3,0,1,S
31,0,male,40.0,3.357621598945279,Rare,1,0,1,C
32,1,female,35.0,4.993969182787072,Mrs,1,1,2,C
33,1,female,21.5,2.169053700369523,Miss,3,0,1,Q
34,0,male,66.0,2.4423470353692043,Mr,2,0,1,S
35,0,male,28.0,4.420896324687287,Mr,1,0,2,C
36,0,male,42.0,3.970291913552122,Mr,1,0,2,S
37,1,male,25.0,2.1076888046179385,Mr,3,0,1,C
38,0,male,21.0,2.2027647577118348,Mr,3,0,1,S
39,0,female,18.0,2.9444389791664403,Miss,3,0,3,S
40,1,female,14.0,2.5048481563289,Miss,3,0,2,C
41,0,female,40.0,2.348991465808201,Mrs,3,0,2,S
42,0,female,27.0,3.091042453358316,Mrs,2,0,2,S
43,0,male,25.0,2.1855792552411137,Mr,3,0,1,C
44,1,female,3.0,3.7513658711253766,Miss,2,0,4,C
45,1,female,19.0,2.1837114628556327,Miss,3,0,1,Q
46,0,male,25.0,2.2027647577118348,Mr,3,0,1,S
47,0,male,25.0,2.803360380906535,Mr,3,0,2,Q
48,1,female,21.5,2.169053700369523,Miss,3,0,1,Q
49,0,male,25.0,3.1214482048688246,Mr,3,0,3,C
50,0,female,18.0,2.9338568698359038,Mrs,3,0,2,S
51,0,male,7.0,3.705920919968788,Master,3,0,6,S
52,0,male,21.0,2.174751721484161,Mr,3,0,1,S
53,1,female,49.0,4.353230991152628,Mrs,1,1,2,C
54,1,female,29.0,3.295836866004329,Mrs,2,0,2,S
55,0,male,65.0,4.142804513146981,Mr,1,1,2,C
56,1,male,40.0,3.597312260588446,Mr,1,1,1,S
57,1,female,21.0,2.4423470353692043,Miss,2,0,1,S
58,0,male,28.5,2.1076888046179385,Mr,3,0,1,C
59,1,female,5.0,3.3586377672433594,Miss,2,0,4,S
60,0,male,11.0,3.8691155044168695,Master,3,0,8,S
61,0,male,22.0,2.1076888046179385,Mr,3,0,1,C
62,1,female,38.0,4.394449154672439,Miss,1,1,1,S
63,0,male,45.0,4.436455632600354,Mr,1,1,2,S
64,0,male,4.0,3.3638415951183864,Master,3,0,6,S
65,0,male,40.0,3.357621598945279,Mr,1,0,1,C
66,1,male,25.0,2.7878344138303452,Master,3,0,3,C
67,1,female,29.0,2.4423470353692043,Mrs,2,1,1,S
68,0,male,19.0,2.2146605719425225,Mr,3,0,1,S
69,1,female,17.0,2.188856327665703,Miss,3,0,7,S
70,0,male,26.0,2.2682524139135403,Mr,3,0,3,S
71,0,male,32.0,2.4423470353692043,Mr,2,0,1,S
72,0,female,16.0,3.8691155044168695,Miss,3,0,8,S
73,0,male,21.0,4.310799125385514,Mr,2,0,1,S
74,0,male,26.0,2.737880811060884,Mr,3,0,2,C
75,1,male,32.0,4.05171190165724,Mr,3,0,1,S
76,0,male,25.0,2.157559320943788,Mr,3,1,1,S
77,0,male,25.0,2.1855792552411137,Mr,3,0,1,S
78,0,male,25.0,2.2027647577118348,Mr,3,0,1,S
79,1,male,0.83,3.4011973816621555,Master,2,0,3,S
80,1,female,30.0,2.600836116795061,Miss,3,0,1,S
81,0,male,22.0,2.302585092994046,Mr,3,0,1,S
82,1,male,29.0,2.3513752571634776,Mr,3,0,1,S
83,1,female,21.5,2.1733302571367834,Miss,3,0,1,Q
84,0,male,28.0,3.8732821771117156,Mr,1,0,1,S
85,1,female,17.0,2.4423470353692043,Miss,2,0,1,S
86,1,female,33.0,2.8243506567983707,Mrs,3,0,4,S
87,0,male,16.0,3.5660053559634015,Mr,3,0,5,S
88,0,male,25.0,2.2027647577118348,Mr,3,0,1,S
89,1,female,23.0,5.575949103146316,Miss,1,1,6,S
90,0,male,24.0,2.2027647577118348,Mr,3,0,1,S
91,0,male,29.0,2.2027647577118348,Mr,3,0,1,S
92,0,male,20.0,2.180891922715322,Mr,3,0,1,S
93,0,male,46.0,4.1299529896894684,Mr,1,1,2,S
94,0,male,26.0,3.0715352369694915,Mr,3,0,4,S
95,0,male,59.0,2.1102132003465894,Mr,3,0,1,S
96,0,male,25.0,2.2027647577118348,Mr,3,0,1,S
97,0,male,71.0,3.57386695198272,Mr,1,1,1,C
98,1,male,23.0,4.164465907853638,Mr,1,1,2,C
99,1,female,34.0,3.1780538303479458,Mrs,2,0,2,S
100,0,male,34.0,3.295836866004329,Mr,2,0,2,S
101,0,female,28.0,2.1855792552411137,Miss,3,0,1,S
102,0,male,25.0,2.1855792552411137,Mr,3,0,1,S
103,0,male,21.0,4.360387947851531,Mr,1,1,2,S
104,0,male,33.0,2.267393053825037,Mr,3,0,1,S
105,0,male,37.0,2.188856327665703,Mr,3,0,3,S
106,0,male,28.0,2.1855792552411137,Mr,3,0,1,S
107,1,female,21.0,2.157559320943788,Miss,3,0,1,S
108,1,male,25.0,2.1719067693519296,Mr,3,0,1,S
109,0,male,38.0,2.1855792552411137,Mr,3,0,1,S
110,1,female,21.5,3.224857896545748,Miss,3,0,2,Q
111,0,male,47.0,3.970291913552122,Mr,1,1,1,S
112,0,female,14.5,2.737880811060884,Miss,3,0,2,C
113,0,male,22.0,2.2027647577118348,Mr,3,0,1,S
114,0,female,20.0,2.3818582738885534,Miss,3,0,2,S
115,0,female,17.0,2.738146075922933,Miss,3,0,1,C
116,0,male,21.0,2.188856327665703,Mr,3,0,1,S
117,0,male,70.5,2.169053700369523,Mr,3,0,1,Q
118,0,male,29.0,3.091042453358316,Mr,2,0,2,S
119,0,male,24.0,5.515526544247129,Mr,1,1,2,C
120,0,female,2.0,3.4742929367327062,Miss,3,0,7,S
121,0,male,21.0,4.310799125385514,Mr,2,0,3,S
122,0,male,25.0,2.2027647577118348,Mr,3,0,1,S
123,0,male,32.5,3.436268471383741,Mr,2,0,2,C
124,1,female,32.5,2.6390573296152584,Miss,2,1,1,S
125,0,male,54.0,4.360387947851531,Mr,1,1,2,S
126,1,male,12.0,2.5048481563289,Master,3,0,2,C
127,0,male,25.0,2.169053700369523,Mr,3,0,1,Q
128,1,male,24.0,2.0969990034181696,Mr,3,0,1,S
129,1,female,21.5,3.1509523813392697,Miss,3,1,3,C
130,0,male,45.0,2.076311648670908,Mr,3,0,1,S
131,0,male,33.0,2.1855792552411137,Mr,3,0,1,C
132,0,male,20.0,2.0856720914304723,Mr,3,0,1,S
133,0,female,47.0,2.740840023925201,Mrs,3,0,2,S
134,1,female,29.0,3.295836866004329,Mrs,2,0,2,S
135,0,male,25.0,2.6390573296152584,Mr,2,0,1,S
136,0,male,23.0,2.775447133088262,Mr,2,0,1,C
137,1,female,19.0,3.3062747934011893,Miss,1,1,3,S
138,0,male,37.0,3.9908341858524357,Mr,1,1,2,S
139,0,male,16.0,2.3240236363515288,Mr,3,0,1,S
140,0,male,24.0,4.384523514872469,Mr,1,1,1,C
141,0,female,21.5,2.7878344138303452,Mrs,3,0,3,C
142,1,female,22.0,2.169053700369523,Miss,3,0,1,S
143,1,female,24.0,2.8243506567983707,Mrs,3,0,2,S
144,0,male,19.0,2.0476928433652555,Mr,3,0,1,Q
145,0,male,18.0,2.5257286443082556,Mr,2,0,1,S
146,0,male,19.0,3.6309854756950335,Mr,2,0,3,S
147,1,male,27.0,2.174274334826008,Mr,3,0,1,S
148,0,female,9.0,3.5660053559634015,Miss,3,0,5,S
149,0,male,36.5,3.295836866004329,Mr,2,1,3,S
150,0,male,42.0,2.6390573296152584,Rare,2,0,1,S
151,0,male,51.0,2.6045398247325453,Rare,2,0,1,S
152,1,female,22.0,4.213607983048918,Mrs,1,1,2,S
153,0,male,55.5,2.2027647577118348,Mr,3,0,1,S
154,0,male,40.5,2.740840023925201,Mr,3,0,3,S
155,0,male,25.0,2.1177604059819726,Mr,3,0,1,S
156,0,male,51.0,4.133231886474144,Mr,1,0,2,C
157,1,female,16.0,2.167143305297764,Miss,3,0,1,Q
158,0,male,30.0,2.2027647577118348,Mr,3,0,1,S
159,0,male,25.0,2.2682524139135403,Mr,3,0,1,S
160,0,male,25.0,4.256321678298823,Master,3,0,11,S
161,0,male,44.0,2.8390784635086144,Mr,3,0,2,S
162,1,female,40.0,2.8183982582710754,Mrs,2,0,1,S
163,0,male,26.0,2.1719067693519296,Mr,3,0,1,S
164,0,male,17.0,2.2682524139135403,Mr,3,0,1,S
165,0,male,1.0,3.705920919968788,Master,3,0,6,S
166,1,male,9.0,3.0692150503137943,Master,3,0,3,S
167,1,female,35.0,4.02535169073515,Mrs,1,1,2,S
168,0,female,45.0,3.3638415951183864,Mrs,3,0,6,S
169,0,male,40.0,3.2930552230424524,Mr,1,0,1,S
170,0,male,28.0,4.05171190165724,Mr,3,0,1,S
171,0,male,61.0,3.5409593240373143,Mr,1,1,1,S
172,0,male,4.0,3.405355391810819,Master,3,0,6,Q
173,1,female,1.0,2.495953738718064,Miss,3,0,3,S
174,0,male,21.0,2.188856327665703,Mr,3,0,1,S
175,0,male,56.0,3.4561841799918147,Mr,1,1,1,C
176,0,male,18.0,2.180891922715322,Mr,3,0,3,S
177,0,male,25.0,3.275887339030031,Master,3,0,5,S
178,0,female,50.0,3.391567832686312,Miss,1,1,1,C
179,0,male,30.0,2.6390573296152584,Mr,2,0,1,S
180,0,male,36.0,0.0,Mr,3,0,1,S
181,0,female,21.5,4.256321678298823,Miss,3,0,11,S
182,0,male,30.0,2.775708849576025,Mr,2,0,1,C
183,0,male,9.0,3.4777725458882283,Master,3,0,7,S
184,1,male,1.0,3.6888794541139363,Master,2,1,4,S
185,1,female,4.0,3.1365805821413706,Miss,3,0,3,S
186,0,male,40.0,3.9318256327243257,Mr,1,1,1,S
187,1,female,21.5,2.803360380906535,Mrs,3,0,2,Q
188,1,male,45.0,3.3160025355989236,Mr,1,0,1,S
189,0,male,40.0,2.803360380906535,Mr,3,0,3,Q
190,0,male,36.0,2.1855792552411137,Mr,3,0,1,S
191,1,female,32.0,2.6390573296152584,Mrs,2,0,1,S
192,0,male,19.0,2.6390573296152584,Mr,2,0,1,S
193,1,female,19.0,2.180891922715322,Miss,3,0,2,S
194,1,male,3.0,3.295836866004329,Master,2,1,3,S
195,1,female,44.0,3.357621598945279,Mrs,1,1,1,C
196,1,female,58.0,4.993969182787072,Miss,1,1,1,C
197,0,male,25.0,2.169053700369523,Mr,3,0,1,Q
198,0,male,42.0,2.2411563979973974,Mr,3,0,2,S
199,1,female,21.5,2.169053700369523,Miss,3,0,1,Q
200,0,female,24.0,2.6390573296152584,Miss,2,0,1,S
201,0,male,28.0,2.3513752571634776,Mr,3,0,1,S
202,0,male,25.0,4.256321678298823,Mr,3,0,11,S
203,0,male,34.0,2.0143428636837015,Mr,3,0,1,S
204,0,male,45.5,2.1071782966514356,Mr,3,0,1,C
205,1,male,18.0,2.2027647577118348,Mr,3,0,1,S
206,0,female,2.0,2.4390808375825834,Miss,3,1,2,S
207,0,male,32.0,2.8243506567983707,Mr,3,0,2,S
208,1,male,26.0,2.9850504252071306,Mr,3,0,1,C
209,1,female,16.0,2.169053700369523,Miss,3,0,1,Q
210,1,male,40.0,3.4657359027997265,Mr,1,1,1,C
211,0,male,24.0,2.0856720914304723,Mr,3,0,1,S
212,1,female,35.0,3.091042453358316,Miss,2,0,1,S
213,0,male,22.0,2.1102132003465894,Mr,3,0,1,S
214,0,male,30.0,2.6390573296152584,Mr,2,0,1,S
215,0,male,25.0,2.169053700369523,Mr,3,0,2,Q
216,1,female,31.0,4.738607824217808,Miss,1,1,2,C
217,1,female,27.0,2.188856327665703,Miss,3,0,1,S
218,0,male,42.0,3.332204510175204,Mr,2,0,2,S
219,1,female,32.0,4.347586575960343,Miss,1,1,1,C
220,0,male,30.0,2.4423470353692043,Mr,2,0,1,S
221,1,male,16.0,2.2027647577118348,Mr,3,0,1,S
222,0,male,27.0,2.6390573296152584,Mr,2,0,1,S
223,0,male,51.0,2.2027647577118348,Mr,3,0,1,S
224,0,male,25.0,2.1855792552411137,Mr,3,0,1,S
225,1,male,38.0,4.51085950651685,Mr,1,1,2,S
226,0,male,22.0,2.336986519711378,Mr,3,0,1,S
227,1,male,19.0,2.4423470353692043,Mr,2,0,1,S
228,0,male,20.5,2.1102132003465894,Mr,3,0,1,S
229,0,male,18.0,2.6390573296152584,Mr,2,0,1,S
230,0,female,21.5,3.275887339030031,Miss,3,0,5,S
231,1,female,35.0,4.436455632600354,Mrs,1,1,2,S
232,0,male,29.0,2.1719067693519296,Mr,3,0,1,S
233,0,male,59.0,2.6741486494265287,Mr,2,0,1,S
234,1,female,5.0,3.4777725458882283,Miss,3,0,7,S
235,0,male,24.0,2.4423470353692043,Mr,2,0,1,S
236,0,female,21.5,2.145931282948669,Miss,3,0,1,S
237,0,male,44.0,3.295836866004329,Mr,2,0,2,S
238,1,female,8.0,3.305053521109253,Miss,2,0,3,S
239,0,male,19.0,2.4423470353692043,Mr,2,0,1,S
240,0,male,33.0,2.5858825671280026,Mr,2,0,1,S
241,0,female,21.5,2.737880811060884,Miss,3,0,2,C
242,1,female,21.5,2.803360380906535,Miss,3,0,2,Q
243,0,male,29.0,2.4423470353692043,Mr,2,0,1,S
244,0,male,22.0,2.094945728215801,Mr,3,0,1,S
245,0,male,30.0,2.1071782966514356,Mr,3,0,1,C
246,0,male,44.0,4.51085950651685,Rare,1,1,3,Q
247,0,female,25.0,2.1719067693519296,Miss,3,0,1,S
248,1,female,24.0,2.740840023925201,Mrs,2,0,3,S
